Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2001-08-17,54.349998474121094,23.2,0.0,6.1000000000000005
2001-08-20,50.0,25.0,0.0,6.1000000000000005
2001-08-21,50.349998474121094,24.5,0.0,6.1000000000000005
2001-08-22,50.79999923706055,25.6,0.1,6.2
2001-08-23,52.29999923706055,25.8,0.7,4.6000000000000005
2001-08-24,50.95000076293945,24.0,12.9,17.1
2001-08-27,51.0,25.8,7.5,24.6
2001-08-28,51.150001525878906,25.6,2.2,26.8
2001-08-29,51.70000076293945,25.4,19.9,46.7
2001-08-30,50.79999923706055,22.3,4.1,50.8
2001-08-31,50.5,24.1,0.0,50.8
2001-09-04,47.5,25.8,0.0,50.8
2001-09-05,48.5,26.5,0.0,49.0
2001-09-06,48.650001525878906,24.0,0.0,47.4
2001-09-07,48.5,21.9,0.1,47.5
2001-09-10,48.349998474121094,28.0,0.0,47.5
2001-09-17,48.29999923706055,18.5,0.0,47.5
2001-09-18,48.0,20.1,0.0,47.5
2001-09-19,47.400001525878906,21.0,0.0,47.5
2001-09-20,46.25,22.2,0.0,47.5
2001-09-21,49.04999923706055,21.5,0.0,47.5
2001-09-24,49.099998474121094,25.2,0.4,47.9
2001-09-25,48.900001525878906,26.9,13.3,61.2
2001-09-26,49.150001525878906,25.6,8.8,70.0
2001-09-27,49.150001525878906,25.3,0.0,70.0
2001-09-28,48.29999923706055,22.8,0.4,70.4
2001-10-01,47.400001525878906,23.0,4.7,75.10000000000001
2001-10-02,46.75,23.6,26.9,102.0
2001-10-03,46.0,24.0,14.1,116.1
2001-10-04,46.5,26.8,0.0,116.1
2001-10-05,46.650001525878906,27.2,0.0,116.1
2001-10-08,45.900001525878906,20.8,2.2,118.3
2001-10-09,45.349998474121094,20.8,2.2,120.5
2001-10-10,45.349998474121094,24.0,0.5,120.9
2001-10-11,44.650001525878906,24.5,3.7,123.9
2001-10-12,44.70000076293945,25.2,0.0,111.0
2001-10-15,43.849998474121094,24.5,0.0,103.5
2001-10-16,43.900001525878906,24.8,0.0,101.3
2001-10-17,44.75,24.6,1.0,82.4
2001-10-18,45.599998474121094,25.1,0.2,78.5
2001-10-19,43.849998474121094,25.0,9.8,88.3
2001-10-22,42.5,23.6,13.8,102.1
2001-10-23,43.54999923706055,26.4,0.0,102.1
2001-10-24,43.29999923706055,25.2,0.0,102.1
2001-10-25,44.29999923706055,25.4,0.0,102.0
2001-10-26,43.400001525878906,24.9,0.0,102.0
2001-10-29,43.650001525878906,27.0,0.0,102.0
2001-10-30,43.349998474121094,27.0,0.0,102.0
2001-10-31,43.900001525878906,28.5,2.1,104.10000000000001
2001-11-01,45.20000076293945,27.6,5.3,109.4
2001-11-02,45.400001525878906,25.9,1.8,111.2
2001-11-05,46.849998474121094,24.7,0.5,111.3
2001-11-06,48.0,26.7,0.0,98.0
2001-11-07,47.29999923706055,27.8,0.0,89.2
2001-11-08,45.75,28.5,0.1,89.3
2001-11-09,44.70000076293945,29.1,2.0,90.89999999999999
2001-11-13,44.849998474121094,25.2,8.1,94.3
2001-11-14,49.70000076293945,25.2,14.7,82.1
2001-11-15,48.400001525878906,25.1,18.9,86.9
2001-11-16,48.650001525878906,25.8,4.7,91.60000000000001
2001-11-19,45.95000076293945,24.2,9.3,100.9
2001-11-20,46.150001525878906,26.1,4.3,103.0
2001-11-21,46.400001525878906,25.9,6.3,107.1
2001-11-26,45.75,27.3,0.0,106.6
2001-11-27,42.400001525878906,26.7,0.0,102.89999999999999
